date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-09-13 11:30:00,2015-09-13 11:30:00,2015-09-13 11:30:05,1.0,0.650564
2015-09-15 11:20:00,2015-09-15 11:20:00,2015-09-15 11:20:05,1.0,0.825488
2015-09-16 12:05:00,2015-09-16 12:05:00,2015-09-16 12:04:01,1.0,0.779804
2015-09-17 11:10:00,2015-09-17 11:10:00,2015-09-17 11:10:05,1.0,0.767636
2015-09-18 11:50:00,2015-09-18 11:50:00,2015-09-18 11:50:04,1.0,0.652716
2015-09-20 11:40:00,2015-09-20 11:40:00,2015-09-20 11:40:04,1.0,0.71942
2015-09-22 11:25:00,2015-09-22 11:25:00,2015-09-22 11:24:00,1.0,0.547
2015-09-23 12:10:00,2015-09-23 12:10:00,2015-09-23 12:10:01,1.0,0.7614
2015-09-24 11:15:00,2015-09-24 11:15:00,2015-09-24 11:14:01,1.0,0.140752
2015-09-25 11:55:00,2015-09-25 11:55:00,2015-09-25 11:54:02,1.0,0.470828
2015-09-26 11:00:00,2015-09-26 11:00:00,2015-09-26 11:00:04,1.0,0.621952
2015-09-27 11:45:00,2015-09-27 11:45:00,2015-09-27 11:44:01,1.0,0.651092
2015-09-29 11:30:00,2015-09-29 11:30:00,2015-09-29 11:30:00,1.0,0.273344
2015-10-02 12:00:00,2015-10-02 12:00:00,2015-10-02 12:00:01,1.0,0.495676
2015-10-06 11:40:00,2015-10-06 11:40:00,2015-10-06 11:40:02,1.0,0.677632
2015-10-08 11:25:00,2015-10-08 11:25:00,2015-10-08 11:24:00,1.0,0.86712
2015-10-09 12:10:00,2015-10-09 12:10:00,2015-10-09 12:10:02,1.0,0.50332
2015-11-02 11:20:00,2015-11-02 11:20:00,2015-11-02 11:20:01,1.0,0.747824
2015-11-03 12:05:00,2015-11-03 12:05:00,2015-11-03 12:05:00,0.555555555556,0.541692
2015-11-04 11:10:00,2015-11-04 11:10:00,2015-11-04 11:10:00,1.0,0.686772
2015-11-05 11:50:00,2015-11-05 11:50:00,2015-11-05 11:50:01,1.0,0.720532
2015-11-07 11:40:00,2015-11-07 11:40:00,2015-11-07 11:40:01,1.0,0.773144
2015-11-09 11:25:00,2015-11-09 11:25:00,2015-11-09 11:24:01,1.0,0.59906
2015-11-10 12:10:00,2015-11-10 12:10:00,2015-11-10 12:10:01,1.0,0.680236
2015-11-11 11:15:00,2015-11-11 11:15:00,2015-11-11 11:14:01,0.444444444444,0.705616
